company_ntn,person_cnic,person_name,role,shareholding_percent
7903908-2,42101-8710121-1,Bilawal Qureshi,CEO/Director,51
2642112-2,42101-2843127-1,Kamran Rana,CEO/Director,100
2477200-9,42101-7826751-8,Kiran Mir,CEO/Director,60
5437857-7,42101-1982284-7,Usman Butt,CEO/Director,60
7326479-4,42101-4491261-4,Hira Sandhu,CEO/Director,100
5667403-5,17301-4008772-7,Adnan Qureshi,CEO/Director,75
1133554-9,37405-6333132-5,Hamza Chaudhry,CEO/Director,60
4715781-3,34101-7924568-1,Muhammad Ahmed Warraich,CEO/Director,60
2759876-5,34101-9842643-7,Usman Chaudhry,CEO/Director,75
1838672-1,42101-4468739-3,Farhan Abbasi,CEO/Director,100
8662442-0,37405-8427627-5,Tariq Sheikh,CEO/Director,100
7923143-8,35202-6027668-5,Ali Mir,CEO/Director,51
5060346-3,36302-9523510-3,Muhammad Adnan Butt,CEO/Director,100
2871642-0,33100-7767198-3,Bilal Sheikh,CEO/Director,60
7368497-6,37405-9418440-8,Aqsa Tarar,CEO/Director,100
2118215-7,37405-8187897-0,Ayesha Tarar,CEO/Director,60
7952266-5,36302-0831358-1,Junaid Butt,CEO/Director,75
1629568-6,33100-1004380-7,Abdullah Sheikh,CEO/Director,75
8832442-9,36302-1980771-3,Salman Bhatti,CEO/Director,75
7519466-0,37405-8113605-7,Shahzad Abbasi,CEO/Director,51
5751008-8,37405-6263830-9,Muhammad Hassan Rana,CEO/Director,100
5102999-6,17301-1994640-3,Usman Dar,CEO/Director,60
8379594-0,35202-8889628-9,Muhammad Danish Warraich,CEO/Director,51
6425190-1,34101-2926861-5,Kamran Raja,CEO/Director,60
4902836-2,34101-2803645-0,Amna Sandhu,CEO/Director,60
9979519-8,34603-6462387-4,Kiran Raja,CEO/Director,51
3528661-4,35202-7112925-6,Amna Chaudhry,CEO/Director,75
8859993-8,35202-7891303-7,Muhammad Shahzad Dar,CEO/Director,51
9584200-4,36302-0486781-8,Amna Khan,CEO/Director,60
5042059-0,42101-1183164-7,Muhammad Ali Satti,CEO/Director,75
5564362-2,35202-7114732-7,Muhammad Ahmed Cheema,CEO/Director,51
2370997-5,37405-2602731-9,Kamran Tarar,CEO/Director,51
3828460-6,34603-1457776-8,Ayesha Khan,CEO/Director,75
4881975-6,17301-8167937-1,Muhammad Faizan Awan,CEO/Director,51
1751131-0,17301-3977355-5,Muhammad Kamran Rana,CEO/Director,75
4179828-6,37405-6490583-5,Muhammad Abdullah Warraich,CEO/Director,75
3803549-1,37405-7525859-9,Usman Malik,CEO/Director,51
7444197-0,34603-3601216-8,Sana Qureshi,CEO/Director,51
4191802-3,33100-4237517-9,Asad Warraich,CEO/Director,51
9035862-2,61101-6253385-3,Muhammad Adnan Bhatti,CEO/Director,51
4448501-0,36302-4423390-1,Rizwan Janjua,CEO/Director,51
3436836-4,34101-1659266-7,Usman Sandhu,CEO/Director,51
3249514-3,36302-7979280-0,Zainab Malik,CEO/Director,60
7880568-4,17301-7083649-0,Iqra Warraich,CEO/Director,75
7250726-2,42101-1438773-9,Tariq Mir,CEO/Director,51
1289786-7,33100-0516653-2,Nimra Sheikh,CEO/Director,51
9489501-9,33100-6900419-9,Muhammad Waqas Satti,CEO/Director,51
8043491-9,34101-2893884-1,Muhammad Usman Chaudhry,CEO/Director,75
6469586-2,37405-4177255-1,Farhan Sheikh,CEO/Director,51
5296071-4,34101-5906230-9,Saad Rana,CEO/Director,75
7009461-2,34603-3362978-7,Waqas Malik,CEO/Director,100
6128260-2,34603-3701283-3,Muhammad Farhan Sandhu,CEO/Director,100
4186825-6,17301-9316937-8,Hira Khan,CEO/Director,100
1543463-3,36302-5762425-0,Sobia Raja,CEO/Director,51
4461945-6,34603-4533501-3,Nauman Warraich,CEO/Director,51
8521182-8,34101-9022300-3,Bilal Satti,CEO/Director,51
4810911-6,61101-1118153-6,Rabia Abbasi,CEO/Director,75
5995276-5,17301-1246380-8,Sobia Qureshi,CEO/Director,60
9082426-9,36302-0764612-7,Ahmed Awan,CEO/Director,51
7270587-1,34603-0795277-8,Aqsa Malik,CEO/Director,100
7301863-9,61101-1272918-9,Muhammad Umar Abbasi,CEO/Director,75
9735413-9,17301-5914846-0,Sobia Gondal,CEO/Director,51
4898080-1,17301-9069692-3,Umar Chaudhry,CEO/Director,75
9219822-0,42101-0234301-5,Muhammad Zain Mughal,CEO/Director,75
3467562-6,17301-8761751-5,Bilal Butt,CEO/Director,75
1479384-5,17301-3873051-1,Asad Khan,CEO/Director,51
4057264-0,35202-9606853-2,Areeba Mir,CEO/Director,60
7054453-0,34101-5581691-1,Junaid Bhatti,CEO/Director,60
2312055-3,35202-8315634-1,Imran Sandhu,CEO/Director,51
4059282-6,42101-7050756-7,Waqas Satti,CEO/Director,60
7284730-4,34603-1048931-7,Asad Bhatti,CEO/Director,51
9800558-6,35202-3289542-2,Komal Sheikh,CEO/Director,100
4725222-3,34603-3444411-0,Saba Khan,CEO/Director,75
5524308-9,35202-6126839-1,Umar Awan,CEO/Director,51
8092364-3,42101-6357677-8,Noor Satti,CEO/Director,100
2285873-2,42101-8883333-2,Hina Gondal,CEO/Director,60
7854719-6,42101-0939381-2,Saba Gondal,CEO/Director,60
7086221-2,61101-4686406-5,Muhammad Junaid Malik,CEO/Director,60
3698905-7,34101-9273567-7,Kamran Satti,CEO/Director,75
3741950-1,17301-4469805-3,Muhammad Danish Khan,CEO/Director,75
1500998-1,36302-2147970-6,Zainab Janjua,CEO/Director,51
6033367-5,34603-8194387-1,Salman Mughal,CEO/Director,60
5982616-4,33100-8364795-7,Muhammad Bhatti,CEO/Director,51
3345198-9,34603-6709774-4,Nimra Chaudhry,CEO/Director,75
3182681-3,42101-0922022-3,Muhammad Usman Mir,CEO/Director,100
6727428-6,17301-1145461-3,Muhammad Shahzad Rana,CEO/Director,60
9216965-4,42101-6103930-5,Muhammad Faizan Chaudhry,CEO/Director,51
6913976-6,37405-0201006-9,Fahad Sheikh,CEO/Director,100
7476326-4,35202-5653602-5,Muhammad Zain Sandhu,CEO/Director,51
1169552-6,33100-0081621-1,Zain Satti,CEO/Director,60
5639028-9,34603-6385345-9,Tariq Butt,CEO/Director,60
3136845-7,61101-5938037-5,Muhammad Bilal Sheikh,CEO/Director,60
5364506-0,33100-6907901-2,Sana Khan,CEO/Director,60
7683372-3,42101-5468811-1,Danish Butt,CEO/Director,100
8339461-0,42101-9290282-3,Hamza Sheikh,CEO/Director,60
9975640-3,17301-3967332-9,Hamza Abbasi,CEO/Director,75
7775878-9,36302-3729840-6,Hira Sandhu,CEO/Director,51
3584551-2,35202-8114781-0,Fatima Warraich,CEO/Director,75
3399905-4,36302-2549873-3,Muhammad Bhatti,CEO/Director,75
8863568-3,61101-4272041-6,Noor Warraich,CEO/Director,60
1771517-4,34603-9011938-6,Sana Dar,CEO/Director,100
5070753-7,35202-7282859-3,Hamza Butt,CEO/Director,75
5861780-2,33100-9463008-5,Muhammad Kamran Satti,CEO/Director,100
4051265-7,36302-9363184-9,Muhammad Hamza Sheikh,CEO/Director,75
2616609-6,37405-6739465-9,Muhammad Salman Sandhu,CEO/Director,75
9875878-4,36302-4637128-3,Faizan Cheema,CEO/Director,100
1601708-6,42101-3055469-7,Imran Cheema,CEO/Director,100
1068493-8,35202-8801605-9,Saad Janjua,CEO/Director,51
4252531-6,34101-1825349-5,Muhammad Mir,CEO/Director,75
7460010-1,34603-5363983-3,Muhammad Farhan Awan,CEO/Director,60
3499632-0,34101-1207998-7,Abdullah Khan,CEO/Director,51
8023208-9,17301-1481751-9,Hassan Khan,CEO/Director,60
8081913-9,61101-7108521-7,Faizan Satti,CEO/Director,75
9646162-9,61101-9928337-7,Muhammad Farhan Awan,CEO/Director,60
1951899-4,36302-7732847-7,Nauman Sandhu,CEO/Director,75
2226440-9,35202-7812839-0,Mehwish Dar,CEO/Director,75
5464231-3,36302-1428659-3,Muhammad Danish Rana,CEO/Director,100
9660936-2,34603-4054917-3,Shahzad Sheikh,CEO/Director,100
2953185-8,42101-5891471-5,Muhammad Faizan Qureshi,CEO/Director,75
6567015-5,61101-1404579-4,Komal Rana,CEO/Director,51
6274639-5,36302-9063451-9,Bilawal Janjua,CEO/Director,51
1776708-7,33100-6081873-5,Muhammad Waqas Malik,CEO/Director,60
1826028-6,37405-2048170-6,Areeba Rana,CEO/Director,60
8228938-1,42101-3209261-1,Abdullah Butt,CEO/Director,75
2554075-9,34101-0205815-6,Zainab Gondal,CEO/Director,51
1671738-1,61101-7718326-9,Waqas Sheikh,CEO/Director,100
8409765-0,42101-8144850-5,Muhammad Waqas Warraich,CEO/Director,51
1282665-9,33100-1869446-9,Muhammad Umar Satti,CEO/Director,75
6619219-6,34603-9093580-1,Ahmed Warraich,CEO/Director,100
6741953-9,34603-8173780-9,Fahad Rana,CEO/Director,51
8271859-5,34603-9730141-1,Muhammad Fahad Mir,CEO/Director,100
5789291-2,35202-9099054-7,Saad Sandhu,CEO/Director,100
7617914-1,33100-2529617-1,Muhammad Hassan Raja,CEO/Director,75
3207711-7,33100-9637616-3,Muhammad Awan,CEO/Director,60
6305314-0,17301-7751795-3,Muhammad Fahad Gondal,CEO/Director,75
9461198-3,42101-5130059-1,Bilal Sandhu,CEO/Director,60
6896171-7,33100-0636154-0,Hira Sandhu,CEO/Director,51
3539324-8,37405-0355294-3,Hamza Raja,CEO/Director,60
7188477-1,34603-3125131-4,Iqra Qureshi,CEO/Director,51
4040116-9,36302-4612961-7,Kamran Gondal,CEO/Director,51
1473516-6,17301-0742224-5,Muhammad Kamran Mughal,CEO/Director,60
9722747-6,36302-6504911-6,Komal Cheema,CEO/Director,100
2291395-9,61101-3713408-5,Rizwan Chaudhry,CEO/Director,51
7243700-3,37405-5099112-0,Sidra Sandhu,CEO/Director,51
2872814-6,34603-7096575-6,Noor Mughal,CEO/Director,100
8106044-2,34603-6752948-5,Tariq Bhatti,CEO/Director,60
4110999-4,36302-4002307-4,Noor Rana,CEO/Director,51
6260150-9,34101-3779586-1,Kamran Khan,CEO/Director,51
7450478-9,61101-5206975-7,Muhammad Waqas Satti,CEO/Director,60
7008531-3,34603-9499323-5,Hussain Cheema,CEO/Director,100
2166170-3,61101-1171692-3,Rizwan Raja,CEO/Director,60
7331534-5,33100-8239620-5,Waqas Raja,CEO/Director,75
7233892-7,34101-9298148-3,Muhammad Ali Chaudhry,CEO/Director,100
2760654-8,33100-7104793-1,Muhammad Usman Satti,CEO/Director,75
6649451-8,17301-3330739-5,Ahmed Rana,CEO/Director,60
8832645-2,35202-1795283-3,Asad Chaudhry,CEO/Director,75
7917666-8,17301-6529872-9,Umar Chaudhry,CEO/Director,60
1951264-9,35202-7804945-7,Ali Butt,CEO/Director,51
4496097-6,34101-4116876-0,Hina Mir,CEO/Director,100
3667927-0,36302-5679316-7,Hassan Raja,CEO/Director,60
6887371-7,35202-8126206-1,Usman Qureshi,CEO/Director,60
8472398-9,34101-2250423-5,Salman Satti,CEO/Director,51
5939025-8,42101-6303668-3,Tariq Dar,CEO/Director,75
7424736-2,42101-2938914-7,Zain Warraich,CEO/Director,51
5583995-8,37405-4526292-7,Hassan Warraich,CEO/Director,51
4005245-2,36302-3728082-9,Salman Satti,CEO/Director,75
1415909-7,34603-2584177-3,Usman Sheikh,CEO/Director,60
3012892-1,61101-4357241-7,Asad Mir,CEO/Director,100
4503580-6,37405-9510663-8,Hina Gondal,CEO/Director,51
5269527-5,34101-5933439-9,Bilawal Warraich,CEO/Director,100
3304134-8,17301-7884954-3,Muhammad Bilal Awan,CEO/Director,100
6312474-8,61101-1771486-9,Muhammad Shahzad Sheikh,CEO/Director,100
4943201-8,42101-9314182-5,Usman Gondal,CEO/Director,60
2609101-2,37405-7373076-6,Nimra Chaudhry,CEO/Director,75
6803035-8,34101-8935526-6,Mehwish Qureshi,CEO/Director,60
1821829-5,33100-8295669-6,Amna Mughal,CEO/Director,60
3656225-4,34101-6348124-7,Muhammad Faizan Mir,CEO/Director,100
3177001-0,35202-2231079-3,Junaid Satti,CEO/Director,60
5276300-3,33100-3476766-2,Hira Mir,CEO/Director,60
9222756-2,42101-0245227-2,Iqra Janjua,CEO/Director,75
3329181-0,34101-3283931-1,Nauman Sheikh,CEO/Director,75
6096543-3,17301-8235160-4,Nimra Mir,CEO/Director,75
6548268-3,35202-2995072-4,Sobia Khan,CEO/Director,100
3394697-0,61101-8123885-5,Adnan Janjua,CEO/Director,75
4518227-6,33100-7712989-7,Muhammad Ahmed Sheikh,CEO/Director,60
8948429-6,34101-4940409-8,Noor Abbasi,CEO/Director,60
1641686-9,35202-7105882-9,Tariq Raja,CEO/Director,100
7417155-9,17301-5703191-5,Ahmed Satti,CEO/Director,60
6924531-9,35202-6858559-9,Muhammad Ali Satti,CEO/Director,100
6896707-9,37405-8819575-1,Fahad Dar,CEO/Director,75
8764895-1,35202-4126867-6,Hina Malik,CEO/Director,51
9380836-3,34603-6831794-5,Muhammad Ali Qureshi,CEO/Director,100
1527736-3,36302-3799820-1,Muhammad Bilawal Qureshi,CEO/Director,51
5250830-7,34101-5987762-7,Muhammad Hussain Qureshi,CEO/Director,75
1893067-4,35202-6281921-4,Ayesha Cheema,CEO/Director,100
6185147-3,61101-4031749-5,Asad Bhatti,CEO/Director,100
3377149-1,36302-8440373-8,Hina Dar,CEO/Director,60
6180758-0,37405-1696495-1,Shahzad Mughal,CEO/Director,75
6605575-9,37405-1276673-7,Danish Tarar,CEO/Director,60
9003624-8,35202-0271184-9,Muhammad Abbasi,CEO/Director,100
9758196-4,61101-1341495-1,Bilal Satti,CEO/Director,51
4249424-7,37405-5759283-1,Hamza Sandhu,CEO/Director,100
8135836-7,17301-7487548-8,Kiran Tarar,CEO/Director,100
1463263-0,35202-9089080-9,Danish Mughal,CEO/Director,51
2904477-7,34101-4409204-1,Muhammad Waqas Sandhu,CEO/Director,60
4100147-1,61101-9949821-1,Danish Sheikh,CEO/Director,100
6844040-6,34603-6653432-3,Muhammad Umar Janjua,CEO/Director,60
4003339-2,17301-0571224-5,Faizan Butt,CEO/Director,60
7658700-9,33100-6721443-7,Salman Warraich,CEO/Director,75
6177728-3,37405-9157058-0,Aqsa Awan,CEO/Director,51
7068230-4,34603-4833576-2,Maryam Cheema,CEO/Director,100
8142589-7,17301-2750645-7,Adnan Mir,CEO/Director,51
3888473-9,36302-3981790-9,Farhan Mughal,CEO/Director,100
4034709-4,36302-3550991-5,Junaid Warraich,CEO/Director,60
7517451-2,34101-9962594-5,Muhammad Asad Qureshi,CEO/Director,75
7302540-7,17301-3492684-1,Kamran Mughal,CEO/Director,100
1854473-8,35202-3748513-5,Danish Satti,CEO/Director,75
7451518-8,36302-8475352-1,Muhammad Shahzad Gondal,CEO/Director,100
1906962-7,17301-3032110-7,Nauman Abbasi,CEO/Director,75
9039070-3,37405-4721762-1,Muhammad Adnan Malik,CEO/Director,100
7929148-2,34603-5167299-9,Zain Dar,CEO/Director,51
5985964-2,34603-4754261-1,Adnan Tarar,CEO/Director,75
9426458-9,61101-0895657-4,Noor Butt,CEO/Director,75
3964605-9,42101-4076740-1,Abdullah Tarar,CEO/Director,75
7864445-7,37405-5157060-8,Rabia Malik,CEO/Director,75
5453166-2,35202-1882141-2,Saba Dar,CEO/Director,75
1763382-6,42101-3751487-7,Ali Dar,CEO/Director,51
7217868-5,36302-6365740-8,Amna Awan,CEO/Director,100
7363582-6,35202-6331816-1,Junaid Butt,CEO/Director,60
3839294-1,17301-1716696-9,Umar Sandhu,CEO/Director,51
5262862-2,17301-1716944-3,Muhammad Faizan Awan,CEO/Director,60
8082619-2,17301-7020331-5,Danish Sandhu,CEO/Director,51
1582662-6,36302-5592959-5,Salman Qureshi,CEO/Director,60
8829895-0,37405-4070555-6,Areeba Bhatti,CEO/Director,60
7722486-9,37405-1504214-7,Muhammad Rana,CEO/Director,60
2417341-0,17301-8492923-9,Umar Gondal,CEO/Director,51
8473313-2,37405-2721222-7,Faizan Dar,CEO/Director,51
3174381-2,33100-8826000-9,Muhammad Bilal Dar,CEO/Director,100
5995305-1,17301-3829361-9,Muhammad Ahmed Khan,CEO/Director,100
4862167-6,35202-4126740-9,Muhammad Salman Mir,CEO/Director,75
6815531-3,35202-9007672-5,Muhammad Salman Satti,CEO/Director,60
2271780-2,61101-1021297-6,Noor Cheema,CEO/Director,75
9899202-6,35202-2512856-7,Tariq Abbasi,CEO/Director,51
2756660-5,33100-8666362-9,Muhammad Ahmed Khan,CEO/Director,75
5938935-5,33100-4718589-9,Umar Khan,CEO/Director,100
8702561-5,34603-9305828-4,Noor Chaudhry,CEO/Director,60
3849136-1,35202-6704973-1,Zain Butt,CEO/Director,75
8472512-4,35202-6026156-1,Danish Abbasi,CEO/Director,75
5770302-2,33100-1365843-1,Muhammad Usman Mir,CEO/Director,60
5245372-3,37405-7034654-7,Muhammad Waqas Abbasi,CEO/Director,75
2540260-4,36302-4294512-0,Iqra Mughal,CEO/Director,100
1232835-2,36302-0507215-9,Danish Chaudhry,CEO/Director,51
8300332-1,36302-8263589-7,Muhammad Hassan Mughal,CEO/Director,100
8299787-6,17301-9446924-9,Muhammad Faizan Tarar,CEO/Director,51
2554997-6,35202-5293722-3,Muhammad Ahmed Rana,CEO/Director,51
7798328-0,17301-2893880-3,Salman Janjua,CEO/Director,60
3422580-6,35202-2679409-5,Muhammad Rana,CEO/Director,100
4175285-9,17301-7784324-5,Shahzad Cheema,CEO/Director,100
9587818-1,35202-1220188-3,Muhammad Rizwan Sandhu,CEO/Director,75
9327302-5,17301-8726045-5,Muhammad Shahzad Satti,CEO/Director,60
6518235-7,42101-4092244-1,Asad Malik,CEO/Director,100
1653376-9,36302-4496156-5,Muhammad Farhan Awan,CEO/Director,100
5153628-7,33100-7030846-5,Muhammad Farhan Chaudhry,CEO/Director,60
4781299-5,37405-2707657-2,Sadia Abbasi,CEO/Director,75
2034788-8,17301-1593336-7,Muhammad Hamza Khan,CEO/Director,75
2840887-6,35202-0043097-0,Komal Sheikh,CEO/Director,51
4794204-2,33100-7895227-7,Muhammad Abdullah Gondal,CEO/Director,75
3339968-1,42101-9253202-5,Tariq Dar,CEO/Director,75
3716099-2,61101-0339952-9,Muhammad Kamran Gondal,CEO/Director,60
6335405-5,36302-4750598-9,Muhammad Salman Malik,CEO/Director,75
7027599-2,61101-2068862-3,Shahzad Raja,CEO/Director,75
4023018-1,61101-6958630-7,Kamran Raja,CEO/Director,100
6886014-2,42101-6455731-6,Nimra Raja,CEO/Director,75
6178824-3,37405-4168031-9,Kamran Awan,CEO/Director,51
9743734-8,34603-9674715-1,Muhammad Chaudhry,CEO/Director,60
2454770-0,37405-8793782-9,Bilawal Awan,CEO/Director,51
4223531-4,34101-0235549-7,Hussain Tarar,CEO/Director,51
3202012-3,42101-8501788-3,Nauman Raja,CEO/Director,60
4639513-1,17301-2278485-1,Ali Cheema,CEO/Director,60
2277025-9,36302-8014845-1,Hassan Awan,CEO/Director,51
8553252-1,37405-4175584-5,Hussain Warraich,CEO/Director,51
1592426-8,42101-0786994-5,Muhammad Zain Sheikh,CEO/Director,100
8154672-1,37405-3284710-1,Kamran Sheikh,CEO/Director,75
3222299-9,34101-6973418-5,Umar Warraich,CEO/Director,51
2143139-0,34603-1399199-6,Kiran Sheikh,CEO/Director,60
7309773-9,35202-5512567-3,Muhammad Bilawal Dar,CEO/Director,100
1704968-0,35202-2781631-5,Asad Sheikh,CEO/Director,100
4187272-2,34101-5750503-3,Muhammad Faizan Mughal,CEO/Director,75
8766122-1,17301-7226482-5,Ali Sandhu,CEO/Director,100
4995585-3,35202-5737415-1,Muhammad Mughal,CEO/Director,51
2579582-9,34603-8132717-9,Abdullah Abbasi,CEO/Director,100
8233040-6,37405-6949479-8,Ayesha Sandhu,CEO/Director,51
6720963-4,36302-3995602-1,Bilawal Butt,CEO/Director,51
5817682-9,34603-9425848-4,Amna Dar,CEO/Director,100
4231662-7,34603-3209901-9,Ahmed Raja,CEO/Director,75
3090150-5,34101-3887970-5,Hussain Janjua,CEO/Director,100
8775381-3,34101-6700278-7,Usman Malik,CEO/Director,60
3812773-0,42101-9951247-3,Farhan Butt,CEO/Director,100
8688549-4,36302-4146631-3,Muhammad Ali Chaudhry,CEO/Director,100
3706984-7,34101-2790125-1,Farhan Janjua,CEO/Director,60
9494423-2,37405-8534229-5,Imran Sandhu,CEO/Director,75
9268385-0,37405-0878007-1,Muhammad Imran Sandhu,CEO/Director,100
6932573-8,35202-2083254-2,Sobia Mughal,CEO/Director,51
5176673-7,34603-4775575-7,Muhammad Waqas Rana,CEO/Director,100
8707946-7,33100-4956948-3,Muhammad Junaid Janjua,CEO/Director,75
9511791-9,36302-2435433-3,Muhammad Saad Dar,CEO/Director,100
8211617-2,42101-8878219-1,Fahad Bhatti,CEO/Director,51
8743906-0,36302-7599905-7,Muhammad Usman Awan,CEO/Director,60
8672556-8,35202-8897258-6,Areeba Bhatti,CEO/Director,51
6480327-1,33100-7095807-0,Komal Chaudhry,CEO/Director,100
6703141-6,37405-0971391-9,Muhammad Hamza Qureshi,CEO/Director,75
7156127-8,17301-9942830-3,Muhammad Abdullah Sandhu,CEO/Director,100
2667467-1,34101-2933074-1,Muhammad Asad Chaudhry,CEO/Director,51
6992848-4,37405-4121549-5,Muhammad Kamran Rana,CEO/Director,51
3663668-9,33100-6426287-3,Fahad Bhatti,CEO/Director,100
3731248-5,36302-9559879-8,Aqsa Janjua,CEO/Director,100
3400777-0,35202-1705731-9,Muhammad Hassan Malik,CEO/Director,51
7293912-4,33100-1401313-9,Ali Tarar,CEO/Director,75
9181432-1,35202-3271413-5,Tariq Sandhu,CEO/Director,51
5235910-3,17301-4510728-3,Muhammad Bilal Butt,CEO/Director,51
2506064-0,42101-2084878-1,Nauman Sheikh,CEO/Director,75
5589818-3,34603-3593218-3,Muhammad Hamza Qureshi,CEO/Director,51
1696086-3,37405-8422480-7,Tariq Warraich,CEO/Director,75
5513838-3,33100-2279043-3,Muhammad Tariq Awan,CEO/Director,75
7382540-0,37405-6741580-7,Muhammad Ahmed Sheikh,CEO/Director,60
4327533-9,36302-5447018-5,Ahmed Dar,CEO/Director,60
3350446-8,35202-6098193-5,Muhammad Tariq Rana,CEO/Director,100
9132923-0,36302-7075183-2,Sana Malik,CEO/Director,60
2859235-8,33100-0033614-2,Komal Satti,CEO/Director,100
9487776-0,35202-6507788-7,Muhammad Zain Dar,CEO/Director,51
5781300-2,61101-8624858-9,Muhammad Usman Mughal,CEO/Director,60
6459300-8,35202-0972215-5,Zain Tarar,CEO/Director,100
7086365-5,35202-3831828-3,Muhammad Sheikh,CEO/Director,100
9886472-9,33100-4253638-1,Ali Raja,CEO/Director,75
6018232-3,42101-1288666-1,Muhammad Ali Chaudhry,CEO/Director,60
6235427-1,42101-8348493-9,Farhan Mughal,CEO/Director,75
1198542-1,42101-4587306-1,Muhammad Saad Malik,CEO/Director,51
9875357-2,34603-7975854-0,Amna Cheema,CEO/Director,100
4228811-7,61101-3604760-8,Sobia Qureshi,CEO/Director,100
1380885-8,34603-4958041-0,Iqra Raja,CEO/Director,60
7817521-9,33100-0557875-0,Hira Janjua,CEO/Director,75
3115077-6,17301-5645740-7,Nauman Warraich,CEO/Director,75
2127436-1,17301-7649651-6,Fatima Butt,CEO/Director,75
7325387-3,61101-9461116-4,Ayesha Rana,CEO/Director,51
4721680-1,34101-2210193-9,Muhammad Faizan Warraich,CEO/Director,51
2556567-7,34101-8538540-6,Hira Khan,CEO/Director,51
3229635-7,35202-6514543-5,Muhammad Nauman Qureshi,CEO/Director,75
3375733-6,34603-6557952-7,Zain Tarar,CEO/Director,60
3301426-3,17301-8351543-3,Asad Butt,CEO/Director,75
8023489-7,36302-2496796-3,Muhammad Hussain Qureshi,CEO/Director,100
5035303-4,37405-5977427-6,Fatima Awan,CEO/Director,60
5250152-3,35202-1541635-1,Muhammad Bilal Mughal,CEO/Director,51
8910962-6,42101-3305354-1,Nauman Mughal,CEO/Director,100
6150489-8,42101-4237716-3,Fahad Satti,CEO/Director,100
7863243-1,42101-2514436-6,Nimra Mir,CEO/Director,60
2800631-4,34603-9719589-9,Muhammad Waqas Warraich,CEO/Director,100
3224048-9,34603-0677088-8,Sana Dar,CEO/Director,60
2933147-9,34101-1108596-7,Asad Chaudhry,CEO/Director,51
5631893-9,17301-3647915-6,Hina Dar,CEO/Director,100
7475765-1,36302-0241950-9,Adnan Gondal,CEO/Director,60
3443099-0,17301-1267196-0,Hira Chaudhry,CEO/Director,60
5358474-0,36302-1009254-7,Hassan Satti,CEO/Director,60
4313335-4,34603-0741685-3,Tariq Bhatti,CEO/Director,60
1018112-7,34101-8376486-9,Umar Awan,CEO/Director,100
4185834-2,33100-7391559-5,Umar Tarar,CEO/Director,75
5588430-9,37405-9266181-7,Muhammad Imran Khan,CEO/Director,100
7229790-1,34101-3772361-7,Fahad Awan,CEO/Director,60
3403770-7,34603-8050766-3,Nauman Rana,CEO/Director,75
3060146-8,42101-0242903-5,Muhammad Ali Satti,CEO/Director,75
8273367-7,36302-4932962-9,Fahad Janjua,CEO/Director,75
3492166-8,37405-7032042-0,Ayesha Rana,CEO/Director,60
5557266-7,36302-0840090-4,Saba Sandhu,CEO/Director,60
7970193-7,17301-6390209-0,Sobia Rana,CEO/Director,60
7019876-1,42101-8108469-1,Bilal Khan,CEO/Director,100
7995723-7,33100-2227120-4,Maryam Satti,CEO/Director,60
1669543-0,35202-8392499-7,Muhammad Umar Rana,CEO/Director,60
1509740-4,33100-4851901-5,Muhammad Danish Qureshi,CEO/Director,75
9619386-3,33100-1483144-1,Rizwan Abbasi,CEO/Director,75
2800906-4,17301-9967928-1,Hamza Cheema,CEO/Director,100
3557456-7,34101-4168779-7,Bilal Awan,CEO/Director,75
9840862-3,61101-1740960-7,Shahzad Tarar,CEO/Director,75
4911299-9,35202-0769516-3,Muhammad Awan,CEO/Director,75
7836245-4,34603-2510493-4,Rabia Malik,CEO/Director,60
3658866-1,61101-7188987-9,Hamza Dar,CEO/Director,60
5389013-4,33100-2390516-6,Aqsa Mughal,CEO/Director,100
4607686-3,17301-7981478-3,Muhammad Umar Sheikh,CEO/Director,60
1631552-5,34603-3976527-3,Muhammad Bilawal Tarar,CEO/Director,75
1678792-6,61101-3711379-3,Junaid Sandhu,CEO/Director,51
1979844-5,42101-9501274-0,Nimra Bhatti,CEO/Director,100
7408674-2,17301-9886517-5,Adnan Sandhu,CEO/Director,100
3463086-1,37405-4300368-5,Ali Butt,CEO/Director,51
2898365-0,37405-6330935-2,Fatima Bhatti,CEO/Director,60
7882508-6,61101-9106500-6,Maryam Rana,CEO/Director,100
8595305-3,61101-1211719-0,Sadia Abbasi,CEO/Director,51
3773997-0,34603-8557245-7,Farhan Malik,CEO/Director,100
6345170-8,34101-7034072-5,Muhammad Junaid Chaudhry,CEO/Director,51
3202812-7,33100-5743821-1,Hassan Raja,CEO/Director,100
8097150-7,37405-6360657-3,Muhammad Asad Butt,CEO/Director,60
8054981-7,42101-6867718-5,Ali Bhatti,CEO/Director,75
5000632-0,61101-8463418-9,Muhammad Waqas Mughal,CEO/Director,60
8154396-5,37405-1023679-0,Zainab Malik,CEO/Director,51
8276445-7,35202-5250806-9,Muhammad Bilal Abbasi,CEO/Director,60
9446938-7,35202-4608737-5,Ahmed Abbasi,CEO/Director,60
4770735-8,34101-0280190-3,Ahmed Tarar,CEO/Director,75
2414902-8,37405-0072594-3,Muhammad Rizwan Satti,CEO/Director,60
5309437-0,61101-0034699-2,Ayesha Janjua,CEO/Director,51
9606744-6,33100-8497686-9,Muhammad Bilawal Abbasi,CEO/Director,75
5500112-8,42101-8653842-5,Fahad Gondal,CEO/Director,100
5256201-2,61101-0445381-6,Fatima Abbasi,CEO/Director,51
